scenario_dimension|is_in_car|is_interventionism|scenario_dimension_group_type|count_dict_1|count_dict_2|is_law|traffic_light_pattern
gender|False|False|['female', 'male']|{'elderly woman': 2, 'large woman': 1, 'female doctor': 1, 'female executive': 1}|{'elderly man': 2, 'large man': 1, 'male doctor': 1, 'male executive': 1}|False|['NA', 'NA']
utilitarianism|True|True|['more', 'less']|{'male doctor': 1, 'elderly woman': 1, 'homeless person': 1}|{'male doctor': 1}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'criminal': 1, 'woman': 2, 'homeless person': 1}|{'male doctor': 1, 'female executive': 1, 'female doctor': 1, 'pregnant woman': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'boy': 1, 'girl': 2}|{'man': 1, 'elderly woman': 1, 'woman': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'man': 2, 'woman': 1, 'girl': 1, 'boy': 1}|{'elderly man': 3, 'elderly woman': 2}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'boy': 2, 'girl': 1}|{'man': 2, 'woman': 1}|True|['red', 'green']
age|False|False|['younger', 'older']|{'man': 1, 'boy': 2, 'woman': 1}|{'elderly man': 2, 'man': 1, 'elderly woman': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'elderly man': 1}|{'elderly woman': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'female athlete': 1, 'large woman': 1, 'female doctor': 1, 'woman': 1}|{'male athlete': 1, 'large man': 1, 'male doctor': 1, 'man': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male executive': 1, 'boy': 1}|{'female executive': 1, 'girl': 1}|True|['NA', 'green']
social_value|True|True|['lower', 'higher']|{'criminal': 2, 'homeless person': 1, 'man': 1}|{'woman': 1, 'male doctor': 1, 'man': 1, 'male executive': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'boy': 1}|{'man': 1}|False|['NA', 'NA']
age|True|False|['younger', 'older']|{'boy': 1, 'girl': 1}|{'elderly man': 1, 'elderly woman': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'large man': 2, 'large woman': 1, 'woman': 1}|{'man': 1, 'woman': 1, 'male athlete': 1, 'female athlete': 1}|False|['NA', 'NA']
age|True|True|['younger', 'older']|{'girl': 2, 'man': 1, 'boy': 1}|{'elderly woman': 1, 'elderly man': 1, 'man': 1, 'woman': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly woman': 1, 'woman': 1}|{'girl': 2}|True|['NA', 'green']
utilitarianism|False|True|['less', 'more']|{'criminal': 1}|{'criminal': 1, 'man': 1, 'female athlete': 1, 'girl': 1}|True|['red', 'green']
social_value|True|True|['lower', 'higher']|{'woman': 2, 'man': 1}|{'female executive': 1, 'male doctor': 2}|True|['NA', 'green']
utilitarianism|True|True|['more', 'less']|{'female executive': 1, 'woman': 1, 'male executive': 1, 'autonomous mobile robot': 1}|{'female executive': 1, 'woman': 1, 'male executive': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'boy': 3, 'woman': 1, 'man': 1}|{'elderly man': 3, 'elderly woman': 1, 'man': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'autonomous mobile robot': 1, 'elderly woman': 1, 'female athlete': 1, 'male athlete': 1}|{'autonomous mobile robot': 2, 'elderly woman': 1, 'female athlete': 1, 'male athlete': 1}|True|['red', 'green']
age|True|False|['older', 'younger']|{'woman': 1}|{'girl': 1}|False|['NA', 'NA']
utilitarianism|True|True|['more', 'less']|{'pregnant woman': 1, 'elderly man': 1, 'large man': 1, 'cat': 1, 'woman': 1}|{'pregnant woman': 1, 'elderly man': 1, 'large man': 1, 'cat': 1}|True|['NA', 'red']
fitness|False|False|['lower', 'higher']|{'large man': 1}|{'male athlete': 1}|True|['green', 'red']
species|False|False|['human', 'pet', 'robot']|{'girl': 1, 'homeless person': 2}|{'autonomous mobile robot': 2, 'humanoid robot': 1}|True|['red', 'green']
social_value|True|False|['higher', 'lower']|{'male doctor': 1, 'woman': 1}|{'homeless person': 1, 'criminal': 1}|True|['NA', 'red']
species|True|True|['robot', 'pet', 'human']|{'humanoid robot': 1, 'cat': 1}|{'male athlete': 1, 'male executive': 1}|False|['NA', 'NA']
gender|True|True|['male', 'female']|{'male doctor': 1, 'large man': 1, 'man': 1, 'boy': 1}|{'female doctor': 1, 'large woman': 1, 'woman': 1, 'girl': 1}|False|['NA', 'NA']
utilitarianism|True|True|['less', 'more']|{'pregnant woman': 1}|{'pregnant woman': 1, 'humanoid robot': 2, 'autonomous mobile robot': 1, 'female executive': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly man': 1, 'man': 1, 'elderly woman': 1}|{'boy': 2, 'woman': 1}|True|['NA', 'green']
social_value|False|True|['lower', 'higher']|{'criminal': 1}|{'woman': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'dog': 1, 'woman': 1}|{'humanoid robot': 1, 'autonomous mobile robot': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly man': 2, 'elderly woman': 1, 'woman': 1}|{'man': 1, 'girl': 2, 'boy': 1}|False|['NA', 'NA']
species|True|False|['robot', 'pet', 'human']|{'autonomous mobile robot': 1}|{'elderly woman': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'large woman': 2, 'female executive': 3}|{'large man': 2, 'male executive': 3}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male executive': 1, 'male doctor': 2, 'elderly man': 1}|{'female executive': 1, 'female doctor': 2, 'elderly woman': 1}|True|['NA', 'green']
species|False|True|['human', 'pet', 'robot']|{'large woman': 1, 'woman': 1, 'boy': 1, 'male doctor': 1}|{'humanoid robot': 1, 'cat': 2, 'dog': 1}|True|['red', 'green']
species|True|True|['human', 'pet', 'robot']|{'large man': 1, 'elderly man': 1}|{'humanoid robot': 1, 'cat': 1}|True|['NA', 'red']
fitness|False|False|['lower', 'higher']|{'man': 2, 'large man': 1}|{'male athlete': 2, 'man': 1}|True|['green', 'red']
fitness|True|True|['lower', 'higher']|{'large man': 1, 'woman': 1, 'large woman': 2}|{'male athlete': 1, 'female athlete': 3}|True|['NA', 'green']
gender|False|False|['female', 'male']|{'female executive': 1}|{'male executive': 1}|True|['red', 'green']
fitness|False|True|['lower', 'higher']|{'large man': 1, 'woman': 1}|{'male athlete': 1, 'female athlete': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'female athlete': 2, 'male athlete': 1}|{'woman': 1, 'large man': 1, 'large woman': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'woman': 1}|{'man': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'large woman': 1, 'large man': 2}|{'female athlete': 1, 'male athlete': 2}|True|['green', 'red']
species|True|True|['robot', 'pet', 'human']|{'dog': 3}|{'elderly man': 1, 'male athlete': 1, 'criminal': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'boy': 1, 'man': 1, 'large woman': 1, 'woman': 1, 'male athlete': 1}|{'cat': 3, 'autonomous mobile robot': 2}|True|['green', 'red']
utilitarianism|False|False|['less', 'more']|{'elderly man': 1}|{'elderly man': 1, 'female doctor': 1, 'boy': 1, 'pregnant woman': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'girl': 2, 'boy': 1, 'woman': 1, 'man': 1}|{'elderly woman': 3, 'man': 1, 'elderly man': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'elderly man': 1}|{'elderly woman': 1}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'autonomous mobile robot': 1, 'male executive': 1}|{'autonomous mobile robot': 1, 'male executive': 1, 'man': 1}|True|['red', 'green']
species|False|False|['human', 'pet', 'robot']|{'male doctor': 1}|{'cat': 1}|True|['red', 'green']
species|False|False|['human', 'pet', 'robot']|{'elderly man': 2}|{'cat': 1, 'autonomous mobile robot': 1}|False|['NA', 'NA']
social_value|True|True|['lower', 'higher']|{'criminal': 1, 'homeless person': 1, 'man': 1}|{'female doctor': 1, 'male executive': 1, 'male doctor': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male athlete': 2, 'boy': 1, 'male executive': 1, 'male doctor': 1}|{'female athlete': 2, 'girl': 1, 'female executive': 1, 'female doctor': 1}|False|['NA', 'NA']
age|True|False|['younger', 'older']|{'boy': 3, 'woman': 1, 'girl': 1}|{'elderly man': 1, 'elderly woman': 1, 'woman': 1, 'man': 2}|False|['NA', 'NA']
gender|True|False|['female', 'male']|{'female doctor': 1, 'girl': 1, 'woman': 1}|{'male doctor': 1, 'boy': 1, 'man': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'girl': 1}|{'boy': 1}|True|['green', 'red']
utilitarianism|True|False|['more', 'less']|{'pregnant woman': 1, 'female doctor': 1, 'woman': 1, 'elderly woman': 1, 'autonomous mobile robot': 1}|{'pregnant woman': 1, 'female doctor': 1, 'woman': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'large man': 4, 'woman': 1}|{'man': 3, 'female athlete': 1, 'male athlete': 1}|False|['NA', 'NA']
fitness|True|False|['lower', 'higher']|{'large man': 2, 'man': 1, 'large woman': 2}|{'man': 2, 'male athlete': 1, 'woman': 2}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'homeless person': 3, 'man': 1}|{'female executive': 1, 'pregnant woman': 3}|True|['NA', 'green']
gender|True|True|['male', 'female']|{'male doctor': 1}|{'female doctor': 1}|True|['NA', 'red']
species|True|False|['robot', 'pet', 'human']|{'humanoid robot': 1, 'cat': 1}|{'elderly man': 1, 'man': 1}|True|['NA', 'green']
species|False|True|['human', 'pet', 'robot']|{'elderly woman': 1}|{'cat': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'female athlete': 1, 'man': 1}|{'large woman': 1, 'large man': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'large woman': 2, 'woman': 1, 'man': 1}|{'female athlete': 3, 'male athlete': 1}|True|['green', 'red']
utilitarianism|True|False|['more', 'less']|{'autonomous mobile robot': 1, 'male executive': 1, 'man': 1, 'baby': 1}|{'autonomous mobile robot': 1, 'male executive': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'woman': 1, 'male athlete': 1}|{'large woman': 1, 'man': 1}|False|['NA', 'NA']
species|True|False|['human', 'pet', 'robot']|{'female doctor': 1}|{'cat': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'girl': 1}|{'humanoid robot': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly woman': 1, 'elderly man': 1}|{'woman': 1, 'man': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'girl': 4}|{'elderly woman': 2, 'woman': 2}|False|['NA', 'NA']
gender|True|False|['female', 'male']|{'female executive': 1, 'female athlete': 1}|{'male executive': 1, 'male athlete': 1}|True|['NA', 'red']
gender|True|True|['male', 'female']|{'male athlete': 3, 'male executive': 1}|{'female athlete': 3, 'female executive': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'elderly man': 1, 'large man': 1}|{'autonomous mobile robot': 1, 'dog': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'elderly woman': 1, 'large woman': 1, 'woman': 1, 'female athlete': 1}|{'elderly man': 1, 'large man': 1, 'man': 1, 'male athlete': 1}|True|['green', 'red']
social_value|True|False|['higher', 'lower']|{'woman': 1}|{'homeless person': 1}|True|['NA', 'green']
gender|False|True|['female', 'male']|{'female athlete': 2, 'female doctor': 2}|{'male athlete': 2, 'male doctor': 2}|True|['green', 'red']
age|True|False|['older', 'younger']|{'elderly woman': 1}|{'woman': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'girl': 1, 'large woman': 1, 'female athlete': 1, 'female executive': 1}|{'boy': 1, 'large man': 1, 'male athlete': 1, 'male executive': 1}|True|['green', 'red']
